id,requirement,evidence
I3-001,I2 R3 exact predecessor is pinned,authority/checker
I3-002,rejected I3 R1 and I3 R2 refs and review hashes are pinned,authority/checker
I3-003,sole durable writer owner is Stage7bRecoveryReadyOwner,recovery source
I3-004,accepted Stage8A1 R3 owner seal and readiness authority is restored,Stage8A1 source/black-box test
I3-005,runtime durable service remains broker-neutral and FINAM composes above it,Cargo manifests/checker
I3-006,raw core append is crate-private and not re-exported,core source/checker
I3-007,temporary external crate cannot import current or historical raw append,external compile-fail gate
I3-008,broker-neutral sealed authority is linear authenticated and non-serializable,core source
I3-009,private I2 issuer composes exact truth control and current Stage7 authority,FINAM source
I3-010,public read DTO or raw batch cannot mutate storage,checker/sealed core entry
I3-011,current RequestAccepted record is required,core source/test
I3-012,accepted command payload is exact,core source/test
I3-013,exactly one linked dispatch attempt is required,core source/test
I3-014,durable request binding is recomputed,core source/test
I3-015,CANCEL target shape comes from durable PLACE history,core source/test
I3-016,S0 is reread before mutation,recovery source/test
I3-017,current Stage6 lifecycle is refreshed before mutation,recovery source
I3-018,frontier CAS is exact,core source/test
I3-019,seal generation CAS is exact,runtime source/test
I3-020,seal fingerprint CAS is exact,runtime source/test
I3-021,request-state CAS is exact,core source/test
I3-022,CAS failure mutates no journal,core/runtime tests
I3-023,current previous record and sequence equal dispatch,core source
I3-024,current global tail equals dispatch before new V2,core source
I3-025,V2 is appended before suffix,core source
I3-026,V2 append is fsync-backed,journal backend
I3-027,each V1 suffix append is fsync-backed,journal backend
I3-028,same key same canonical V2 is idempotent,core test
I3-029,same key different canonical V2 is hard conflict,core test
I3-030,only exact verified missing suffix is appended,mixed replay/core test
I3-031,no second V2 is appended on retry,core/runtime test
I3-032,complete batch is required before normal success,core source
I3-033,S1 covers F1 and is reread authenticated,runtime source/test
I3-034,V2-only crash is recovered from persisted V2 without lost I2 object,runtime production-path test
I3-035,partial suffix crash appends only missing manifest records without lost I2 object,runtime production-path test
I3-036,unrelated journal-ahead state is rejected,runtime test
I3-037,current truth binds exact request ID,FINAM source/test
I3-038,current truth binds exact account,FINAM source/test
I3-039,current truth binds exact instrument,FINAM source/test
I3-040,current truth binds durable request digest,FINAM source/test
I3-041,current truth binds canonical truth digest,FINAM source/test
I3-042,writer-entry truth has an absolute validity deadline,FINAM source/test
I3-043,another account with identical counts is rejected,FINAM test
I3-044,another request on same account is rejected,FINAM test
I3-045,changed orphan or unknown state is rejected,FINAM test
I3-046,control binds current operational identity,FINAM source
I3-047,control binds current runtime config,FINAM source/runtime check
I3-048,control binds command scope and payload,FINAM source
I3-049,arm registry and current control bindings are validated,Stage8A1 source
I3-050,pre-write failure does not poison owner,runtime/backend tests
I3-051,post-header failure poisons backend and owner,runtime/backend tests
I3-052,partial-payload failure poisons backend and owner,runtime/backend tests
I3-053,post-hash or pre-sync failure poisons owner,runtime/backend tests
I3-054,sync failure poisons owner,runtime/backend tests
I3-055,suffix write failures poison owner,runtime fault matrix
I3-056,poisoned owner is not recovery ready,runtime fault matrix
I3-057,poisoned owner cannot issue authority append or advance seal,runtime fault matrix
I3-058,durable receipt grants no ACK or readiness,runtime source/authority
I3-059,Redis FINAM dispatch runtime-live and real orders remain closed,authority/checker
I3-060,I4 and Stage8A5 remain separately gated,authority/docs
I3-061,validated writer entry requires an Ed25519 issuer attestation,core/FINAM tests
I3-062,issuer public key is pinned by authenticated operational identity,core/runtime tests
I3-063,issuer private key is a pinned regular 0600 file,Stage8A1 tests
I3-064,actual production normal entry reaches V2 exact suffix F1 and S1,FINAM integration test
I3-065,V2-only production crash remains Pending and is repaired through production recovery,FINAM integration test
I3-066,partial exact suffix appends only the missing suffix through production recovery,FINAM integration test
I3-067,complete batch without S1 appends no duplicate suffix and commits S1,FINAM integration test
I3-068,repeated restart remains Pending until the production recovery entry succeeds,runtime/FINAM integration tests
I3-069,crash injection exposes no raw batch writer or recovery authority constructor,type boundary/checker
I3-070,recovery API requires neither Stage8ExecutionCapability nor a retained issuer,FINAM source/checker
I3-071,recovery-only issuer is reconstructed from Pending S0 and exact durable request,Stage8A1 source/tests
I3-072,historical arm nonce is deterministically reconstructed from durable identity,Stage8A1 source/checker
I3-073,recovery verifies one existing canonical Ed25519-attested arm registration and never registers another,Stage8A1 source/tests
I3-074,missing cryptographically altered or mismatched historical arm registration fails closed and remains Pending,FINAM tests
I3-075,true SIGKILL process-A to process-B V2-only recovery reaches Ready,FINAM subprocess test
I3-076,process B receives no process-A capability or issuer object,subprocess API/test/checker
I3-077,recovery mints no execution send ACK or readiness authority,authority/checker
I3-078,recovery-only issuer is structurally separate from the normal execution issuer,Stage8A1 source/checker
I3-079,corrupt or unreadable current control maps only to StaleOrUnreadable and permits post-effect persistence,Stage8A1/FINAM tests
I3-080,missing current control maps only to StaleOrUnreadable and permits post-effect persistence,Stage8A1/FINAM tests
I3-081,stale readable current control permits post-effect persistence without send authority,FINAM tests
I3-082,StopRequested permits post-effect persistence without send authority,FINAM tests
I3-083,readable operational-identity or runtime-config contradiction fails closed Pending,FINAM tests
I3-084,true SIGKILL process-B corrupt-control recovery reaches exact suffix S1 and Ready,FINAM subprocess test
