id,category,requirement,expected,mandatory,evidence,negative_mutation
G78R1-001,predecessor,Accepted Stage 7B source is exact,Accepted source ref is a1044e0dbe324c722b637498ca80ffafd9f0cbee,YES,descriptor+hash,forge Stage7B accepted ref
G78R1-002,predecessor,Stage 7B external acceptance is exact,Independent review SHA is e66d87ae88cf1c1a8f2ec12ac5d4338374c26bfcc417624b0fa1f007a5c81bf2,YES,descriptor+hash,forge independent review SHA
G78R1-003,predecessor,Stage 7B closure records are immutable,Closure descriptor and final acceptance record hashes match accepted governance record,YES,static_hash,alter Stage7B closure record
G78R1-004,scope,Gate is specification-only,"No crates/**, Cargo.*, or .github/** delta from governance predecessor",YES,git_scope,add production crate delta
G78R1-005,scope,Gate acceptance opens only Stage 8A no-send,Stage 8A implementation may start; real FINAM POST/DELETE remains closed,YES,descriptor+independent_review,self-open FINAM POST
G78R1-006,scope,Stage 8B remains separately gated,No real engineering micro is authorized by Gate 7→8,YES,governance,open Stage8B in gate
G78R1-007,scope,Later stages remain closed,"Stage 9+, runtime-live, real strategy orders, Stop/SLTP/bracket remain closed",YES,descriptor,open later stage
G78R1-008,finam_contract,Official FINAM REST order contract is refreshed before Stage8A code,"Gate records retrieval date, official source URL, normalized snapshot SHA and reviewed diff against current pinned project fixture",YES,contract_snapshot,omit current FINAM contract refresh
G78R1-009,finam_contract,Order endpoints are pinned,PLACE=/v1/accounts/{account_id}/orders; CANCEL=/v1/accounts/{account_id}/orders/{order_id},YES,contract_snapshot,change endpoint path
G78R1-010,finam_contract,PLACE request field set is pinned,"symbol, quantity, side, type, time_in_force, limit_price when required, client_order_id; STOP/legs/conditional fields prohibited",YES,contract_snapshot+golden,drop time_in_force
G78R1-011,finam_contract,FINAM ClientOrderId constraint is pinned,"client_order_id must be explicitly sent, non-empty, exact durable ID, and <=20 characters; broker-generated fallback forbidden",YES,contract_snapshot+negative,omit client_order_id
G78R1-012,finam_contract,Existing vetted FINAM request builder is the sole serializer,Stage8A must compose broker-finam::build_place_order_request/build_cancel_order_request; no second Stage8 JSON serializer,YES,source_contract,introduce second Stage8 serializer
G78R1-013,finam_contract,TimeInForce initial live scope is narrowed,Initial protected PLACE capability allows TimeInForce::Day only; all other TIF values fail before transport until separately opened,YES,policy+negative,allow non-DAY TIF
G78R1-014,finam_contract,Current FINAM response statuses are pinned per endpoint,PLACE and CANCEL documented status sets are recorded independently; unknown/default responses remain fail-closed,YES,contract_snapshot,replace endpoint-specific status policy with generic 4xx rule
G78R1-015,capability,Execution capability has private construction,No public/default constructor,YES,compile_fail,make capability constructor public
G78R1-016,capability,Execution capability is linear,No Clone/Copy/Serialize/Deserialize,YES,compile_fail,derive Clone
G78R1-017,capability,Capability binds one durable request and exact command,"Request, ClientOrderId, account, instrument, strategy, action, side, qty, price/TIF as applicable match",YES,behavioral,drop command binding
G78R1-018,capability,Capability is consumed before possible broker send,Second invocation impossible even if transport reports failure,YES,behavioral,consume only after HTTP response
G78R1-019,capability,Durable dispatch attempt precedes send seam,Fsync-confirmed Stage6 DispatchAttemptRecorded exists before possible broker transport,YES,crash_ordering,send before durable attempt
G78R1-020,capability,Capability cannot be reconstructed from transport/publication state,"Redis payload, broker response, diagnostics, request marker cannot mint capability",YES,compile_fail+negative,mint capability from Redis
G78R1-021,capability,Restart invalidates process-local execution capability,Recovery requires fresh operator authorization and current preflight,YES,restart,persist/deserialize capability
G78R1-022,operator,Operator arm is one-shot and exact-scope,First possible send consumes the arm; arm binds exact request/account/instrument/strategy/action/limits/config/nonce,YES,behavioral,auto-rearm operator arm
G78R1-023,operator,Operator arm TTL and restart semantics are fail-closed,"Expired, restarted or drifted arm cannot authorize transport",YES,restart,reuse arm after restart
G78R1-024,kill_switch,Kill-switch terminology is unambiguous,Mechanism must be available/fresh/readable; state RunAllowed required before PLACE; StopRequested blocks PLACE,YES,policy,use ambiguous 'active kill switch' wording
G78R1-025,kill_switch,Kill switch is checked at every send boundary,"Before capability issuance, after durable attempt, immediately before send, and before any continuation",YES,fault_injection,remove immediate pre-send kill-switch check
G78R1-026,kill_switch,Kill-switch read/staleness/conflict fails closed,"Unreadable, stale or generation-conflicting switch blocks PLACE",YES,fault_injection,treat read failure as RunAllowed
G78R1-027,kill_switch,Emergency CANCEL cannot become a bypass,Only exact owned working order may use separately scoped emergency-cancel policy,YES,negative,allow generic cancel bypass
G78R1-028,ownership,Single-broker strategy ownership is required,No same strategy/account scope may have simultaneous ALOR and FINAM execution ownership,YES,negative,allow dual-broker live ownership
G78R1-029,mapping,MARKET mapping is exact,"Existing builder emits ORDER_TYPE_MARKET, exact side/qty/symbol, TIME_IN_FORCE_DAY, exact client_order_id, no limit_price",YES,golden,MARKET includes limit_price
G78R1-030,mapping,LIMIT mapping is exact,"Existing builder emits ORDER_TYPE_LIMIT, exact Decimal tick-aligned limit_price, TIME_IN_FORCE_DAY, exact client_order_id",YES,golden,LIMIT omits price
G78R1-031,mapping,CANCEL mapping is exact,DELETE targets only exact Stage6-correlated broker-native string order ID and exact account,YES,golden,cancel unknown/foreign order
G78R1-032,mapping,Stable identity is never replaced,"No numeric surrogate, broker-generated client ID or transport-generated replacement",YES,restart+golden,replace client_order_id
G78R1-033,mapping,Unsupported command families fail before transport,REPLACE/STOP/STOP_LIMIT/SLTP/bracket/multi-leg fail locally,YES,negative,allow STOP
G78R1-034,mapping,Unsupported TIF fails before transport,Anything other than Day in initial Stage8 scope is local blocked/rejected,YES,negative,allow IOC/FOK/GTC in initial Stage8
G78R1-035,mapping,Decimal/instrument validation is current,Qty/price/tick/lot/multiplier/schedule validation uses current instrument registry and fails closed,YES,fixture_matrix,allow stale tick parameters
G78R1-036,outcome_place,PLACE 200 requires usable exact broker identity,AcceptedObserved only when response is authenticated/decoded/correlated and broker order identity is usable,YES,local_mock,accept 200 without broker ID
G78R1-037,outcome_place,PLACE documented 400 is local/broker rejection only when safely decoded,Invalid trading parameters -> BrokerRejected; malformed/contradictory body -> ReconciliationRequired,YES,local_mock,classify malformed 400 as final reject
G78R1-038,outcome_place,PLACE 401 disarms and blocks further execution,No blind retry; authentication/readiness must be re-established,YES,local_mock,retry PLACE after 401
G78R1-039,outcome_place,PLACE documented 404 is configuration rejection,Account/instrument not found -> no blind retry; configuration/instrument readiness becomes blocked,YES,local_mock,retry PLACE after 404
G78R1-040,outcome_place,PLACE 429/500/503/504/default after possible send are ambiguous,ReconciliationRequired; never automatic retry,YES,fault_matrix,treat 503 as definitely not sent
G78R1-041,outcome_place,PLACE malformed/truncated/unknown 2xx is ambiguous,ReconciliationRequired,YES,fault_matrix,accept unknown 2xx
G78R1-042,outcome_cancel,CANCEL 200 is endpoint-specific accepted observation,Response must correlate exact target; does not itself prove no intervening fill/position change,YES,local_mock,treat 200 cancel as proof of flat
G78R1-043,outcome_cancel,CANCEL 400 already executed requires reconciliation,Must reconcile target order/trades/position; never ordinary BrokerRejected,YES,local_mock,cancel 400 -> BrokerRejected
G78R1-044,outcome_cancel,CANCEL 404 requires reconciliation,Not-found/account ambiguity never terminal cancel confirmation,YES,local_mock,cancel 404 -> BrokerRejected
