id,category,requirement,expected,mandatory,proof_type,negative_mutation
S8A1R2-001,predecessor,Accepted Stage8A-0 source is exact,ref=c949d7f83aa87cf990204a5b8ae66e5ca37c9f1d,YES,descriptor_hash,forge predecessor
S8A1R2-002,predecessor,Accepted Stage8A-0 external review is exact,review_sha=574876211e0c896cc9d61f9f2d078059e54fd471a9b97e94a3c9c8c81930879b,YES,descriptor_hash,forge review hash
S8A1R2-003,governance,Stage8A-1 candidate cannot self-accept,independent acceptance remains false/pending,YES,descriptor,self accept
S8A1R2-004,governance,Stage8A-2 remains closed,No builder/mock-send/classifier/reconciliation scope is opened,YES,descriptor,open 8A-2
S8A1R2-005,capability,Stage8ExecutionCapability fields are private,No public fields,YES,compile_fail+source,public capability field
S8A1R2-006,capability,Capability is linear,No Clone/Copy,YES,compile_fail,derive Clone
S8A1R2-007,capability,Capability is non-debuggable,No raw Debug implementation,YES,compile_fail,derive Debug
S8A1R2-008,capability,Capability is non-serializable,No Serialize/Deserialize,YES,compile_fail,derive Serialize
S8A1R2-009,capability,Approved command cannot be extracted in 8A-1,No public/crate-private request extraction or consuming transport API,YES,source_scan,add into_request
S8A1R2-010,closed_surface,No request builder composition exists,No broker-finam PLACE/CANCEL builder use,YES,closed_surface,invoke builder
S8A1R2-011,closed_surface,No HTTP/Redis/send surface exists,No Stage8A-1 transport or live consumer,YES,closed_surface,add send/redis
S8A1R2-012,authority,Stage7B remains sole lifecycle authority,No Stage8 journal/reducer/ClientOrderId allocator/settlement owner,YES,source_scan,add Stage8 journal
S8A1R2-013,authority,Current Stage7B recovery-ready authority is required,Owner-mediated current Stage7B authority is reread/authenticated from disk and bound to exact dispatch-ready Stage6 request,YES,subprocess+type_boundary,mint without Stage7B owner
S8A1R2-014,authority,Current authenticated recovery seal is bound,Immediate on-disk seal reread/HMAC/equality and exact current checkpoint/dispatch binding; stale/delete/corrupt/different seal fails,YES,fault_matrix,use stale seal
S8A1R2-015,authority,Exact Stage6 durable request identity is required,Capability minting consumes/binds opaque exact durable request authority,YES,type_boundary,mint from raw command only
S8A1R2-016,identity,PLACE durable ClientOrderId is exact,Place client ID equals durable identity derived from StrategyRequestId,YES,unit,change client id
S8A1R2-017,identity,CANCEL durable identity is exact,Cancel durable command identity plus exact target broker/client IDs are bound,YES,unit,change cancel durable identity
S8A1R2-018,identity,Stage6 attribution is exact,strategy owner/cycle/action/role from durable identity is bound,YES,unit,change attribution
S8A1R2-019,readiness,Current composite readiness authority is bound,Production readiness issuer derives opaque authority from current composite readiness source; loss/generation drift blocks,YES,issuer_integration,mint without readiness
S8A1R2-020,authority,Raw public evidence cannot mint capability,Safety-critical minting inputs are opaque/non-constructible outside trusted issuer,YES,compile_fail,construct raw proof literal
