ID,Area,Scenario / Requirement,Expected Result,Blocking,Proof Type,Required Witness,Negative Mutation / Checker
D-R1-001,Lineage / scope,Design R1 is based on accepted Stage 7B-c and changes design/docs/checkers only.,Base is exactly c57ae8d5f98bbb11df0a81f78262d3916b276d81; no crates/Cargo/workflow production diff; 7B-d-a remains unopened.,YES,git/static,exact predecessor + production-diff=false,modify crates/** or change predecessor
D-R1-002,Single lifecycle authority,Stage 6 remains the only lifecycle/execution authority.,"Redis markers, ACK maps, DLQ state and settlement capabilities never become Stage 6/request execution identity.",YES,design/static,single_authority=true + forbidden authority tokens,introduce Redis/process lifecycle authority
D-R1-003,ACK authorization type,Terminal ACK settlement authority is represented by a dedicated opaque capability.,"Capability is non-Clone, non-Copy, non-Serialize, non-Deserialize, non-publicly-constructible and single-consumption/linear.",YES,design/compile-contract,durable_ack_authorized_linear=true,allow Clone/Serialize/reconstruction
D-R1-004,ACK exact request binding,ACK authorization is minted for a finalized Stage 6 request.,"It binds exact operational identity, StrategyRequestId, canonical command digest and durable client/request identity.",YES,design/static,ack_authorization_exact_request_bound=true,drop request/command binding
D-R1-005,ACK seal binding,ACK authorization is minted only after current seal commit.,"It binds Stage 6 checkpoint/frontier fingerprint, recovery-seal generation and committed seal commitment/fingerprint.",YES,design/static,ack_authorization_seal_bound=true,remove seal/checkpoint binding
D-R1-006,ACK payload binding,ACK authorization is converted into a transport settlement plan.,Plan is bound to exact canonical ACK fingerprint/classification; a capability for A cannot settle a different ACK payload.,YES,design/static,ack_authorization_payload_bound=true,allow payload substitution
D-R1-007,Transport entry binding,Transport settlement plan is formed for one Redis source entry.,"It binds validated namespace, command stream, consumer group, Redis entry ID and settlement kind without feeding these into Stage 6 identity.",YES,design/static,transport_plan_entry_bound=true,drop entry binding or feed entry ID to Stage6 identity
D-R1-008,ACK authorization provenance,Terminal ACK path is inspected.,Only durable Stage6 finalization + committed covering recovery seal may mint DurableAckAuthorized.,YES,design/static,ack_requires_finalized_and_sealed=true,mint ACK authority before finalization/seal
D-R1-009,Poison DLQ type split,Permanent pre-Stage6 poison is handled.,Uses a distinct PoisonDlqAuthorized capability; it is not the ACK settlement capability.,YES,design/static,separate_ack_and_poison_capabilities=true,merge ACK/DLQ authorization
D-R1-010,Poison zero-mutation proof,Malformed/schema-invalid Redis entry is sent to DLQ.,DLQ authorization requires proof that Stage6 admission did not occur and no Stage6 journal/request mutation exists for the entry.,YES,design/static,poison_requires_zero_stage6_mutation=true,allow DLQ after Stage6 mutation
D-R1-011,Hold states never DLQ,Entry reaches IdentityConflict/ReconciliationRequired/RecoveryBlocked/DurabilityUncertain/provider-unknown.,"No PoisonDlqAuthorized, ACK settlement or XACK authority may be minted; entry remains held/pending.",YES,design/static,holds_never_dlq_or_xack=true,route hold state to DLQ
D-R1-012,Poison seal rule,Permanent pre-Stage6 poison has no Stage6 lifecycle mutation.,No Stage6 seal advancement is required solely for poison DLQ; atomic DLQ+XACK remains transport-only.,YES,design/static,poison_no_stage6_seal_advance=true,require fake RequestFinalized/seal for poison
D-R1-013,Stable settlement key,A new ACK/DLQ settlement marker key is derived.,"Stable key depends on namespace/hash-tag, source stream, consumer group, Redis entry ID and settlement kind; it does NOT depend on ACK/DLQ payload fingerprint.",YES,design/static,stable_settlement_key_excludes_payload_fingerprint=true,include fingerprint in marker key
D-R1-014,Stored payload fingerprint,Settlement marker value is written.,"Value stores schema/version, exact ACK/DLQ fingerprint, output stream and published Redis output ID/classification.",YES,design/static,marker_value_contains_payload_fingerprint=true,remove stored fingerprint
D-R1-015,Exact retry,Same settlement key is retried after response loss with same fingerprint.,Lua returns committed result and does not produce another ACK/DLQ XADD or another semantic effect.,YES,design/protocol,same_key_same_fingerprint_idempotent=true,repeat XADD on exact retry
D-R1-016,Conflict retry,Same stable settlement key is presented with a different payload fingerprint.,Fail closed before XADD/XACK; conflict is observable and cannot create a second marker/key.,YES,design/protocol,same_key_different_fingerprint_conflict=true,allow second key or overwrite fingerprint
D-R1-017,Request canonical publication marker,Terminal request has no known prior canonical ACK publication.,First publication creates a stable request-level canonical ACK marker bound to StrategyRequestId and canonical ACK fingerprint/output ID.,YES,design/protocol,request_canonical_ack_marker=true,omit request-level marker
D-R1-018,Post-publication duplicate semantics,A new Redis entry carries the exact same request after canonical ACK publication is known.,Stage6 dedupe yields Duplicate/DuplicateCommand ACK for the new entry; canonical request marker remains unchanged.,YES,design/protocol,post_publication_duplicate_semantics=true,emit second canonical Accepted
D-R1-019,Conflicting duplicate semantics,A new Redis entry reuses StrategyRequestId with changed immutable identity.,No ACK/DLQ/XACK settlement; pending IdentityConflict; canonical request marker remains unchanged.,YES,design/protocol,conflicting_duplicate_never_settles=true,benign reject/xack conflict
D-R1-020,PEL precondition,Lua performs a brand-new settlement with no existing entry marker.,"Before first write, it verifies the source entry is pending in the expected consumer group; otherwise fail closed without publication.",YES,design/protocol,new_settlement_requires_expected_pel=true,remove PEL precondition
D-R1-021,Retry after committed XACK,Entry marker already proves a previously committed settlement.,Exact retry may return prior committed result even though source entry is no longer pending; it must not re-XADD.,YES,design/protocol,marker_retry_does_not_require_pel=true,require PEL for already-committed retry
D-R1-022,Lua preflight ordering,Redis settlement script handles type/schema/hash-slot/fingerprint/conflict validation.,All expected semantic/type checks happen before the first Redis mutation; no expected error path is reachable after publication but before XACK.,YES,design/protocol,lua_validates_before_first_write=true,move validation after first XADD
D-R1-023,Cluster slot,ACK/DLQ settlement uses Lua/transaction on Redis Cluster-compatible keys.,"Source stream, marker(s), output stream and group-related keys required by the atomic script share one intentional hash slot/namespace.",YES,design/static,single_hash_slot_required=true,allow cross-slot atomic keys
D-R1-024,Seal commit uncertainty,Seal update outcome is ambiguous after possible rename/fsync boundary.,"No settlement capability, readiness false; re-read/reconcile committed on-disk seal or restart owner. No blind generation++ from cached state.",YES,design/protocol,ambiguous_seal_commit_requires_reread=true,blindly increment seal generation
D-R1-025,Redis durability scope,B-059 response-loss semantics are documented.,Guarantee covers client/process response loss after committed Redis script within one Redis durability/failover domain; Redis persistence rollback is not called exactly-once durability.,YES,governance,redis_response_loss_scope_explicit=true,claim Redis storage rollback impossible
