ID,Area,Scenario / Requirement,Expected Result,Blocking,Proof Type,Required Witness,Negative Mutation / Checker
B-001,Lineage,Candidate Stage 7B branch/commit is based on the exact accepted Stage 7A closure ref.,Merge-base/direct predecessor authority proves exact accepted Stage 7A ref; otherwise gate fails.,YES,git_gate,detached predecessor / Git compare to 2b6d6e9,mutate predecessor ref
B-002,Governance,Stage 7A is recorded CLOSED and Stage 7B is the only active implementation slice.,"Status/roadmap name Stage 7B candidate; Stage 8+, FINAM execution and runtime-live remain CLOSED.",YES,governance_gate,current-status + roadmap exact tokens,open Stage 8/live token
B-003,Closed surface,Stage 7B production delta is inspected for broker execution surfaces.,"No broker-finam order transport, reqwest order calls, FINAM POST/DELETE, runtime-live, real orders or protective live execution.",YES,static_gate,stage7b_closed_surface_check,inject HTTP POST/order endpoint token
B-004,Dependency boundary,New Stage 7B service/composition dependencies are resolved.,"May depend on broker-core, strategy-runtime-core, runtime-command-bridge, redis/tokio/serde/sha/uuid and one OS-lock facility; must not depend on broker-finam, finam-gateway, reqwest or rusqlite order authority.",YES,static_gate,Cargo dependency surface report,add broker-finam dependency
B-005,Single execution authority,Execution lifecycle decision is inspected across Stage 7B.,Stage 6 journal/replay remains the only execution authority; no M3e/M3h lifecycle store or legacy OrderPathStore participates in dispatch/retry/terminal decisions.,YES,source_gate,authority dependency/source scan,consult OrderPathStore
B-006,File authority,Stage 7B production command path is instantiated.,The owned Stage 6 journal used by the production/paper service is file-backed; no MemoryJournalBackend is the production write authority.,YES,integration,stage7b_production_authority_is_file_backed,replace file owner with memory owner
B-007,No dual journal,A command is processed through Stage 7B.,There is exactly one writable Stage 6 journal authority; in-memory replay/checkpoints are derived views only and no file+memory dual-write state machine exists.,YES,source_gate,single journal owner checker,introduce mirrored memory append
B-008,Backend compatibility,Existing Stage 6/7A APIs run after backend abstraction/refactor.,Memory-backed accepted tests retain identical semantics; file-backed owner uses the same Stage 6 record/replay rules.,YES,regression,inherited Stage 7A + Stage 6 tests,bypass backend trait/owner
B-009,Durable path,"Configured durable data directory/path is invalid, relative when forbidden, aliases another identity, or is a symlink escape.",Fail before lock/journal open; no Redis consumer attach.,YES,negative,durable_path_validation,disable path validation
B-010,First boot,Journal is missing and operator did not explicitly authorize durable initialization.,Fail closed; never auto-create as a restart side effect.,YES,unit,first_boot_requires_explicit_authorization,enable implicit create
B-011,Restart open,Restart path has no journal file.,Fail as MissingJournal/RecoveryBlocked; do not create a new empty journal.,YES,fs_integration,restart_missing_journal_never_creates,use create-on-open
B-012,Journal creation,Explicit first boot creates a new journal.,"Header is written, file data is synchronously persisted, scan validates, and only then does creation succeed.",YES,fs_integration,journal_create_header_is_synced,remove sync_data
