id,requirement,evidence
D001,Accepted Stage 8A-4 reducer exact ref pinned,authority
D002,Accepted reducer review SHA256 pinned,authority
D003,Accepted Design R2 lineage pinned,authority
D004,Artifact is design only,authority and changed-path checker
D005,Production Rust changes are forbidden,authority and changed-path checker
D006,Public diagnostic is side evidence only,authority and contract
D007,Public diagnostic cannot authorize durable apply,contract
D008,Authoritative result is private,authority and contract
D009,Authoritative result is opaque,authority and contract
D010,Authoritative result is linear and non-cloneable,authority and contract
D011,Caller cannot construct authoritative result,authority and contract
D012,No diagnostic-to-authority conversion exists,contract
D013,Composition has one crate-private owner,contract
D014,Private outcome binds durable request,contract
D015,Private outcome binds Stage6 request state,contract
D016,Private outcome binds Stage7 command identity,contract
D017,Private outcome binds truth admission and policy,contract
D018,Private outcome binds journal generation and recovery seal,contract
D019,Partial list/exact identity remains conservative Conflict,authority and contract
D020,Material compatibility merge is not introduced,contract
D021,Exact lookup NotAttempted is distinct,authority and contract
D022,Exact lookup Succeeded is distinct,authority and contract
D023,DocumentedNotFound is preserved,authority and contract
D024,Unavailable is preserved,authority and contract
D025,DecodeFailure is preserved,authority and contract
D026,Stale is preserved,authority and contract
D027,DocumentedNotFound never proves no match,authority and contract
D028,Unavailable never proves no match,authority and contract
D029,ProvenNoMatch remains unavailable,authority
D030,Account safety retains active order count,authority and contract
D031,Account safety retains unknown-status count,authority and contract
D032,Account safety retains orphan order count,authority and contract
D033,Exact request outcome cannot clear account safety hold,contract
D034,Apply-time durable request revalidation required,authority and contract
D035,Apply-time Stage6 state revalidation required,authority and contract
D036,Apply-time Stage7 command revalidation required,authority and contract
D037,Apply-time journal generation revalidation required,authority and contract
D038,Apply-time recovery seal revalidation required,authority and contract
D039,Apply-time operator arm revalidation required,authority and contract
D040,Apply-time kill switch revalidation required,authority and contract
D041,Apply-time account safety revalidation required,authority and contract
D042,Transition vocabulary is finite and identity preserving,authority and contract
D043,Lifecycle and fill remain orthogonal,contract
D044,Conflict and unknown do not advance lifecycle,authority and contract
D045,Conflict and unknown force hold and disarm,authority and contract
D046,Transition replay is idempotent,authority and contract
D047,Same key different payload is conflict,contract
D048,Pre-append crash leaves no transition,authority and contract
D049,Post-append pre-publication crash cannot append twice,authority and contract
D050,ACK and readiness occur only after durable append,authority and contract
D051,Result grants no retry rearm or resend,authority and contract
D052,Durable composition implementation remains closed,authority
D053,Journal mutation remains closed,authority
D054,ACK readiness publication remains closed,authority
D055,Redis live consumer remains closed,authority
D056,FINAM POST DELETE remains closed,authority
D057,Broker dispatch remains closed,authority
D058,Runtime live and real orders remain closed,authority
D059,Stage8A5 and Stage8B remain closed,authority
D060,Acceptance opens implementation specification only,authority and contract
