id,mandatory,requirement,proof
S8A4D-001,YES,Accepted Stage 8A-3 predecessor is exact,stage8a4-design-authority.json
S8A4D-002,YES,Final Stage 8A-3 review SHA-256 is exact,stage8a4-design-authority.json
S8A4D-003,YES,Package is design-only,stage8a4-design-descriptor.json
S8A4D-004,YES,No production Rust changes exist,stage8a4_design_check.py
S8A4D-005,YES,No Cargo or workflow changes exist,stage8a4_design_check.py
S8A4D-006,YES,Stage 8A-3 production remains byte-identical,stage8a4_design_check.py
S8A4D-007,YES,Canonical truth is BrokerTruthSnapshot,stage8a4-design-authority.json
S8A4D-008,YES,HTTP classifier is not broker truth,stage8a4-design-contract.md
S8A4D-009,YES,Historical reconciliation is oracle-only,stage8a4-source-inventory.md
S8A4D-010,YES,Durable request context is opaque,stage8a4-design-contract.md
S8A4D-011,YES,Fresh truth admission is opaque,stage8a4-design-contract.md
S8A4D-012,YES,Reconciliation policy is fingerprint-bound,stage8a4-design-authority.json
S8A4D-013,YES,StrategyRequestId is exact,stage8a4-design-contract.md
S8A4D-014,YES,ClientOrderId is exact and stable,stage8a4-design-contract.md
S8A4D-015,YES,Endpoint kind is explicit,stage8a4-design-contract.md
S8A4D-016,YES,Account identity is exact,stage8a4-design-contract.md
S8A4D-017,YES,FINAM venue symbol is exact,stage8a4-design-contract.md
S8A4D-018,YES,Instrument registry identity is unambiguous,stage8a4-design-contract.md
S8A4D-019,YES,Side is bound,stage8a4-design-contract.md
S8A4D-020,YES,Original quantity is bound,stage8a4-design-contract.md
S8A4D-021,YES,Known BrokerOrderId remains a string,stage8a4-design-contract.md
S8A4D-022,YES,Attempt boundary timestamps are durable,stage8a4-design-contract.md
S8A4D-023,YES,Event window is bounded,stage8a4-design-contract.md
S8A4D-024,YES,Event policy is not caller-selected,stage8a4-design-contract.md
S8A4D-025,YES,Journal generation and seal are bound,stage8a4-design-contract.md
S8A4D-026,YES,Orders source is required,stage8a4-design-authority.json
S8A4D-027,YES,Trades source is required,stage8a4-design-authority.json
S8A4D-028,YES,Positions source is required,stage8a4-design-authority.json
S8A4D-029,YES,Instrument registry source is required,stage8a4-design-authority.json
S8A4D-030,YES,Every required source must be present,stage8a4-design-contract.md
S8A4D-031,YES,Every required source must decode,stage8a4-design-contract.md
S8A4D-032,YES,Every required source must be complete,stage8a4-design-contract.md
S8A4D-033,YES,Completeness uses source-specific proof rather than generic pagination,stage8a4-design-contract.md
S8A4D-034,YES,Acquisition must be post-attempt,stage8a4-design-contract.md
S8A4D-035,YES,Trusted-future timestamps fail closed,stage8a4-design-contract.md
